1.379844601463677684e-02,4.835635658670010481e-03,8.260340841497003719e-03,9.449826539148975524e-02,4.614995686526949213e-03,1.456320281623934253e-02,3.820634724051170418e-03,1.547275699258070583e-02,9.361397776066791160e-03,7.938057223558028092e-03,9.344228059266376091e-03,3.880659392816150632e-02,2.112291189617124254e-02,8.604525708355121108e-03,1.637598409470220409e-02
1.712874478981234183e-02,8.852922393062514009e-03,2.116688935665399143e-03,1.128665598614912030e-01,2.918361770140484764e-03,1.725828848046399161e-02,7.100070455536993536e-03,2.016079804383009988e-02,1.592204467488715983e-02,1.023081268603748609e-02,1.162748641914555445e-02,1.325302256233321270e-02,8.636402849747749216e-03,1.114671539147013904e-02,1.968367771995841939e-02
2.141065357445361486e-02,1.041705389447641732e-02,3.330521349538853072e-03,1.104579167265652140e-01,1.245888453036443763e-03,2.090596396092833306e-02,1.025586023514780433e-02,2.424497988412713939e-02,5.515747503408440638e-02,1.324788595378006625e-02,1.473777581098698053e-02,3.718876652461709093e-02,1.222952787767442664e-02,1.414873810155425037e-02,2.236990566138248246e-02
1.995842272325920250e-02,1.330843223735763727e-02,5.380322833634362052e-05,9.523510793365080884e-02,2.738407752881309807e-03,1.978084036542975335e-02,7.860501980632829053e-03,2.179411243425506683e-02,1.544333388064199342e-02,1.225416141913914479e-02,1.358281139653695797e-02,3.615444512050085268e-02,1.218910035234673644e-02,1.234806282102214256e-02,1.578977887520106177e-02
9.694443372977570861e-02,1.809010260281633808e-01,2.206586572948229623e-03,9.554509584922224463e-02,3.149114996147505362e-03,1.484404408476112658e-01,6.843227765248760530e-03,2.015354319235988442e-02,1.600023392222704385e-02,1.116838996446271881e-02,1.249735781631854635e-02,3.797296009737493594e-01,8.154585543462374714e-03,1.139154950450641489e-02,1.725940167401922992e-02
9.854735953305189880e-03,1.078034424082753356e-03,1.536936027361504760e-02,1.057025354624871322e-01,1.696222582685978364e-01,1.187504308628252979e-02,8.834739932061059717e-04,1.109892520733578476e-02,9.817647483941717435e-02,4.588513938662521635e-03,5.574522413042118894e-03,5.005539047568027256e-01,2.264747282638193346e-03,2.076294614174850964e-03,1.384223383687081463e-02
3.169889770095168143e-03,1.458138942845834118e-01,2.729450180950899682e-02,1.126788714850716772e-01,1.397904137517115841e-01,8.469749306785510565e-03,7.608371711394726171e-03,2.548129176419445998e-03,1.039150785127510718e-03,9.802564731824102342e-04,1.526033952932344135e-03,6.503074049040380444e-02,5.041576552759043702e-04,6.059101428218104102e-03,3.445042663679807123e-04
5.176983675642813851e-03,1.293837825857184010e-03,2.096144449272923510e-02,1.088975012917688390e-01,1.391163185722844170e-03,1.394118993233914305e-02,4.030342708467956302e-03,6.838521925607548256e-03,7.569827550448642722e-03,4.111307761038277345e-03,4.800339334481307056e-03,9.225761287852629611e-02,2.269940630299303007e-03,1.851863343890610900e-04,3.823854408858270385e-04
1.111766436082356133e-02,1.676803660850421929e-01,1.812823642145977923e-02,1.009702254461337795e-01,3.618464832808256440e-03,1.374536021440165949e-02,2.241343950059360851e-03,2.507823991624940629e-01,4.513317592503469644e-01,2.000347419343244670e-01,5.249892027642209628e-03,1.164810400581098637e+00,2.375956554968006260e-03,2.119362255640222167e-03,4.422567563340135469e-03
1.183794475851948289e-02,3.561629131662193831e-02,4.138223985744726718e-02,1.713753902654871208e-01,1.090108900649369543e-02,1.918364138339169467e-02,1.842278041085647911e-01,4.076176594169500511e-02,4.406787043569602991e-02,2.175373578152730442e-02,1.284096811035632599e-02,2.267851852158177528e-01,1.221050052632974108e-02,1.742513460293620697e-01,7.664266941166029967e-03
